tag_name;mess_id;my_vcc;block;ts_num;iccp_type;domain_name;flags;sbo_timeout;function
CN23P0090_ANA3;N23P0090_ANA3;EAST_MIDLANDS;1;8;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN23P0090_ANA3,N23P0090_ANA3,1,OdataApi)
CALIAS_48686_m;ALIAS_48686_m;EAST_MIDLANDS;1;9;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_48686_m,ALIAS_48686_m,1,OdataApi)
CS22930_SCADA_MODE;S22930_SCADA_MODE;EAST_MIDLANDS;1;6;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CS22930_SCADA_MODE,S22930_SCADA_MODE,1,OdataApi)
CN890044_HB2S0_WBUR;N890044_HB2S0;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoTWOOData_Data_StateQTimeTag(CN890044_HB2S0_WBUR,N890044_HB2S0_WBUR,N890044_HB2S0_STAY,1,OdataApi)
CALIAS_2579968_E;ALIAS_2579968_E;EAST_MIDLANDS;1;7;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_2579968_E,ALIAS_2579968_E,1,OdataApi)
CN23P0371_CB02;N23P0371_CB02;EAST_MIDLANDS;1;5;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN23P0371_CB02,N23P0371_CB02,1,OdataApi)
CN23P0112_ANC2;N23P0112_ANC2;EAST_MIDLANDS;1;7;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN23P0112_ANC2,N23P0112_ANC2,1,OdataApi)
CN900027_03ANR;N900027_03ANR;EAST_MIDLANDS;1;8;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN900027_03ANR,N900027_03ANR,1,OdataApi)
CS22930_ANM_MW_FAILSAFE_IMP_SP;S22930_ANM_MW_FAILSAFE_IMP_SP;EAST_MIDLANDS;5;1;REAL;POWERON_ZIVWB;;;
CN23P0090_CB04_33;N23P0090_CB04_33;EAST_MIDLANDS;1;3;Data_StateQTimeTag;global;;;ICCPtoOData_Data_StateQTimeTag(CN23P0090_CB04_33,N23P0090_CB04_33,1,OdataApi)
CALIAS_217513_R;ALIAS_217513_R;EAST_MIDLANDS;1;9;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CALIAS_217513_R,ALIAS_217513_R,1,OdataApi)
CN23P0094_7713;N23P0094_7713;EAST_MIDLANDS;1;9;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CN23P0094_7713,N23P0094_7713,1,OdataApi)
CS22877_ANM_MVAR;S22877_ANM_MVAR;EAST_MIDLANDS;1;10;Data_RealQTimeTag;global;;;ICCPtoOData_Data_RealQTimeTag(CS22877_ANM_MVAR,S22877_ANM_MVAR,1,OdataApi)
